uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	uniqname	|	flags	|	
805080	|		|	life	|	no rank	|	silva:0,ncbi:1,worms:1,gbif:0,irmng:0	|		|		|	
93302	|	805080	|	cellular organisms	|	no rank	|	ncbi:131567	|		|		|	
996421	|	93302	|	Archaea	|	domain	|	silva:D37982/#1,ncbi:2157,worms:8,gbif:2,irmng:12	|	Archaea (domain silva:D37982/#1)	|		|	
5246114	|	996421	|	Marine Hydrothermal Vent Group 1(MHVG-1)	|	no rank - terminal	|	silva:AB302039/#2	|		|		|	
102415	|	996421	|	Thaumarchaeota	|	phylum	|	silva:D87348/#2,ncbi:651137,worms:559429,irmng:258	|		|		|	
5246628	|	102415	|	terrestrial group	|	no rank - terminal	|	silva:AB600373/#3	|		|		|	
4795965	|	102415	|	Marine Group I	|	no rank	|	silva:D87348/#3,ncbi:905826	|		|		|	
5205649	|	4795965	|	uncultured marine crenarchaeote 'Gulf of Maine'	|	species	|	silva:AGBE01001967,ncbi:1089683	|		|	sibling_higher	|	
5208050	|	4795965	|	uncultured marine archaeon DCM858	|	species	|	silva:AF121992,ncbi:105567	|		|	sibling_higher	|	
5205092	|	4795965	|	uncultured marine group I thaumarchaeote	|	species	|	silva:JF715361,ncbi:360837	|		|	sibling_higher	|	
5205072	|	4795965	|	uncultured Nitrosopumilaceae archaeon	|	species	|	silva:JN591993,ncbi:1118069	|		|	sibling_higher	|	
5208765	|	4795965	|	uncultured marine archaeon DCM874	|	species	|	silva:AF122001,ncbi:105576	|		|	sibling_higher	|	
179705	|	4795965	|	Cenarchaeales	|	order	|	silva:AY192631/#4,ncbi:205948,worms:573555,irmng:10957	|		|		|	
189165	|	179705	|	Cenarchaeaceae	|	family	|	silva:AY192631/#5,ncbi:205957,worms:573556,gbif:4896414,irmng:105060	|		|		|	
888219	|	189165	|	Cenarchaeum	|	genus	|	silva:AY192631/#6,ncbi:46769,worms:573557,gbif:4896415,irmng:1030758	|		|		|	
5207306	|	888219	|	Thermoplasmatales archaeon Gpl	|	species	|	silva:JN881616,ncbi:261391	|		|		|	
376618	|	888219	|	Cenarchaeum symbiosum A	|	no rank - terminal	|	silva:DQ397549,ncbi:414004	|		|		|	
